"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"66","05M129","P.S. 129 John H. Finley","2020-21",306,0.461,0.02,0.493,0.448,0.007,0.013,0.02,0.32,0.085,0.9,0.637254901960784,0.274509803921569,0,11.4444444444444,0.06,0,0.63,0.25,0.45,0.14
"67","05M148","Eagle Academy for Young Men of Harlem","2020-21",325,0,0.006,0.628,0.317,0.003,0.018,0.022,0.385,0.08,0.81,0,0.378461538461538,0.621538461538461,13.8,0.05,0.06,0.31,0.25,0.36,0.38
"68","05M161","P.S. 161 Pedro Albizu Campos","2020-21",687,0.508,0.012,0.204,0.755,0.003,0.004,0.022,0.291,0.263,0.95,0.454148471615721,0.496360989810771,0,19.5699404761905,0.17,0.03,0.54,0.17,0.46,0.07
"69","05M286","Urban Assembly Academy for Future Leaders","2020-21",93,0.43,0.022,0.581,0.366,0.022,0,0.011,0.527,0.086,0.94,0,1,0,15.5833333333333,0.02,NA,0.27,0.22,0.5,0
"70","05M362","Columbia Secondary School","2020-21",700,0.49,0.089,0.181,0.347,0.036,0.004,0.307,0.184,0.006,0.38,0,0.422857142857143,0.577142857142857,16.5416666666667,0.16,0.1,0.69,0.2,0.49,0.09
"71","05M371","School of Earth Exploration and Discovery Harlem (","2020-21",78,0.346,0.038,0.551,0.385,0,0,0.013,0.333,0.064,0.88,0,1,0,18.3666666666667,0.32,0,0.7,0.09,0.71,0
"72","05M499","Frederick Douglass Academy","2020-21",994,0.426,0.012,0.632,0.325,0.002,0.008,0.018,0.217,0.059,0.84,0,0.201207243460765,0.798792756539235,21.8055555555556,0.02,0.13,0.23,0.26,0.56,0.11
"73","05M514","New Design Middle School","2020-21",135,0.548,0,0.57,0.4,0,0.015,0.015,0.511,0.03,0.95,0,1,0,11.9047619047619,0.99,0,0.53,0.32,0.65,0.2
"74","06M018","P.S. 018 Park Terrace","2020-21",318,0.497,0.003,0.022,0.956,0.003,0,0.016,0.258,0.236,0.88,0.455974842767296,0.487421383647799,0,18.05,0.22,0.01,0.69,0.08,0.94,0
"75","06M052","Harold O. Levy School","2020-21",248,0.48,0.008,0.044,0.931,0,0.004,0.012,0.234,0.46,0.95,0,1,0,18.8571428571429,0.09,0,0.68,0.19,0.81,0
